2022-11-18 09:23:48 [DB]Load DB Table_Base : map_url -> file:///home/rainbow/Desktop/MAIN_MOBILE1/build/image/map_downloaded.png
2022-11-18 09:38:19 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:19 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:19 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:19 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:20 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:20 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:20 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:20 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:20 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:21 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:21 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:21 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:21 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:21 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:22 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:22 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:22 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:22 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:22 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:23 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:23 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:23 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:23 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:23 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:24 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:24 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:24 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:24 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:24 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:25 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:25 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:25 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:25 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:25 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:26 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:26 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:26 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:26 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:26 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:27 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:27 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:27 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:27 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:27 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:28 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:28 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:28 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:28 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:28 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:29 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:29 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:29 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:29 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:29 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:30 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:30 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:30 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:30 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:30 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:31 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:31 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:31 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:31 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:31 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:32 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:32 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:32 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:32 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:32 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:33 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:33 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:33 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:33 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:33 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:34 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:34 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:34 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:34 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:34 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:35 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:35 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:35 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:35 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:35 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:36 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:36 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:36 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:36 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:36 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:37 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:37 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:37 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:37 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:37 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
