2022-12-02 09:38:20 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 09:38:20 [LCM] SEND COMMAND : MOVE PAUSE
2022-12-02 09:38:21 [LCM] SEND COMMAND : MOVE RESUME
2022-12-02 09:38:22 [LCM] SEND COMMAND : MOVE PAUSE
2022-12-02 09:38:25 [LCM] SEND COMMAND : MOVE RESUME
2022-12-02 09:38:26 [LCM] SEND COMMAND : MOVE PAUSE
2022-12-02 09:38:44 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 09:38:47 [LCM] SEND COMMAND : MOVE PAUSE
2022-12-02 09:39:03 [LCM] SEND COMMAND : MOVE RESUME
2022-12-02 09:39:04 [LCM] SEND COMMAND : MOVE PAUSE
2022-12-02 09:40:03 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 09:40:04 [LCM] SEND COMMAND : MOVE PAUSE
2022-12-02 09:40:05 [LCM] SEND COMMAND : MOVE RESUME
2022-12-02 09:40:06 [LCM] SEND COMMAND : MOVE PAUSE
2022-12-02 09:40:15 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 09:40:16 [LCM] SEND COMMAND : MOVE PAUSE
2022-12-02 09:40:17 [LCM] SEND COMMAND : MOVE RESUME
2022-12-02 09:40:18 [LCM] SEND COMMAND : MOVE PAUSE
2022-12-02 09:40:37 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 09:40:39 [LCM] SEND COMMAND : MOVE PAUSE
2022-12-02 10:00:37 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 10:01:09 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 10:01:35 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 10:02:14 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 10:02:36 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 10:05:54 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 10:08:22 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 10:09:37 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 10:10:21 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 10:10:25 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 10:10:58 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 10:12:14 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 10:13:01 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 10:13:53 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 10:14:29 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 10:34:23 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 10:36:41 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 10:39:02 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 10:39:20 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 10:39:40 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 10:39:49 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 10:40:46 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 10:41:26 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 10:41:45 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 10:42:07 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 10:42:37 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 10:42:48 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 10:43:16 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 10:44:18 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 10:45:57 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 10:46:13 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
2022-12-02 10:46:36 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000
