2022-11-03 08:59:39 [DB]Load DB Table_Base : map_url -> file:///home/rainbow/Desktop/MAIN_MOBILE1/build/image/map.png
2022-11-03 08:59:39 [DB]Load DB Table_Base : prefer_mouse -> yes
2022-11-03 09:03:24 [DB]Load DB Table_Base : map_url -> file:///home/rainbow/Desktop/MAIN_MOBILE1/build/image/map.png
2022-11-03 09:03:24 [DB]Load DB Table_Base : prefer_mouse -> yes
2022-11-03 15:05:03 [DB]Load DB Table_Base : map_url -> file:///home/rainbow/Desktop/MAIN_MOBILE1/build/image/map.png
2022-11-03 15:05:03 [DB]Load DB Table_Base : prefer_mouse -> yes
2022-11-03 15:06:55 [DB]Load DB Table_Base : map_url -> file:///home/rainbow/Desktop/MAIN_MOBILE1/build/image/map.png
2022-11-03 15:06:55 [DB]Load DB Table_Base : prefer_mouse -> yes
2022-11-03 15:07:30 [DB]Load DB Table_Base : map_url -> file:///home/rainbow/Desktop/MAIN_MOBILE1/build/image/map.png
2022-11-03 15:07:30 [DB]Load DB Table_Base : prefer_mouse -> yes
2022-11-03 15:09:23 [DB]Load DB Table_Base : map_url -> file:///home/rainbow/Desktop/MAIN_MOBILE1/build/image/map.png
2022-11-03 15:09:23 [DB]Load DB Table_Base : prefer_mouse -> yes
2022-11-03 15:09:32 [UI-FUNCTION] SET TRAY : 2, 5, 5
2022-11-03 16:05:35 [DB]Load DB Table_Base : map_url -> file:///home/rainbow/Desktop/MAIN_MOBILE1/build/image/map.png
2022-11-03 16:05:35 [DB]Load DB Table_Base : prefer_mouse -> yes
2022-11-03 16:05:43 [UI-FUNCTION] SET TRAY : 4, 4, 4
2022-11-03 16:11:58 [DB]Load DB Table_Base : map_url -> file:///home/rainbow/Desktop/MAIN_MOBILE1/build/image/map.png
2022-11-03 16:11:58 [DB]Load DB Table_Base : prefer_mouse -> yes
2022-11-03 16:14:15 [DB]Load DB Table_Base : map_url -> file:///home/rainbow/Desktop/MAIN_MOBILE1/build/image/map.png
2022-11-03 16:14:15 [DB]Load DB Table_Base : prefer_mouse -> yes
2022-11-03 16:14:37 [DB]Load DB Table_Base : map_url -> file:///home/rainbow/Desktop/MAIN_MOBILE1/build/image/map.png
2022-11-03 16:14:37 [DB]Load DB Table_Base : prefer_mouse -> yes
2022-11-03 16:14:44 [UI-FUNCTION] SET TRAY : 4, 4, 4
2022-11-03 16:17:13 [LCM] SEND COMMAND : MOVE LOCATION TO 8
2022-11-03 16:17:13 [LCM] SEND COMMAND : MOVE LOCATION TO 8
2022-11-03 16:17:13 [LCM] SEND COMMAND : MOVE LOCATION TO 8
2022-11-03 16:17:13 [LCM] SEND COMMAND : MOVE LOCATION TO 8
2022-11-03 16:17:13 [LCM] SEND COMMAND : MOVE LOCATION TO 8
2022-11-03 16:17:14 [LCM] SEND COMMAND : MOVE LOCATION TO 8
2022-11-03 16:17:14 [LCM] SEND COMMAND : MOVE LOCATION TO 8
2022-11-03 16:17:14 [LCM] SEND COMMAND : MOVE LOCATION TO 8
2022-11-03 16:17:14 [LCM] SEND COMMAND : MOVE LOCATION TO 8
2022-11-03 16:17:14 [LCM] SEND COMMAND : MOVE LOCATION TO 8
2022-11-03 16:17:15 [LCM] SEND COMMAND : MOVE LOCATION TO 8
2022-11-03 16:17:15 [LCM] SEND COMMAND : MOVE LOCATION TO 8
2022-11-03 16:17:15 [LCM] SEND COMMAND : MOVE LOCATION TO 8
2022-11-03 16:17:15 [LCM] SEND COMMAND : MOVE LOCATION TO 8
2022-11-03 16:17:15 [LCM] SEND COMMAND : MOVE LOCATION TO 8
2022-11-03 16:17:16 [LCM] SEND COMMAND : MOVE LOCATION TO 8
2022-11-03 16:17:16 [LCM] SEND COMMAND : MOVE LOCATION TO 8
2022-11-03 16:17:16 [LCM] SEND COMMAND : MOVE LOCATION TO 8
2022-11-03 16:17:16 [LCM] SEND COMMAND : MOVE LOCATION TO 8
2022-11-03 16:17:16 [LCM] SEND COMMAND : MOVE LOCATION TO 8
2022-11-03 16:17:17 [LCM] SEND COMMAND : MOVE LOCATION TO 8
2022-11-03 16:17:17 [LCM] SEND COMMAND : MOVE LOCATION TO 8
2022-11-03 16:17:17 [LCM] SEND COMMAND : MOVE LOCATION TO 8
2022-11-03 16:33:14 [DB]Load DB Table_Base : map_url -> file:///home/rainbow/Desktop/MAIN_MOBILE1/build/image/map.png
2022-11-03 16:33:14 [DB]Load DB Table_Base : prefer_mouse -> yes
2022-11-03 16:33:50 [UI-FUNCTION] SET TRAY : 0, 0, 0
2022-11-03 16:33:50 [LCM] SEND COMMAND : MOVE LOCATION TO 2
2022-11-03 16:33:50 [LCM] SEND COMMAND : MOVE LOCATION TO 1
2022-11-03 16:33:50 [LCM] SEND COMMAND : MOVE LOCATION TO 1
2022-11-03 16:33:51 [LCM] SEND COMMAND : MOVE LOCATION TO 1
2022-11-03 16:33:51 [LCM] SEND COMMAND : MOVE LOCATION TO 1
2022-11-03 16:33:51 [LCM] SEND COMMAND : MOVE LOCATION TO 1
2022-11-03 16:33:51 [LCM] SEND COMMAND : MOVE LOCATION TO 1
2022-11-03 16:33:51 [LCM] SEND COMMAND : MOVE LOCATION TO 1
2022-11-03 16:33:52 [LCM] SEND COMMAND : MOVE LOCATION TO 1
2022-11-03 16:33:52 [LCM] SEND COMMAND : MOVE LOCATION TO 1
2022-11-03 16:33:52 [LCM] SEND COMMAND : MOVE LOCATION TO 1
2022-11-03 16:33:52 [LCM] SEND COMMAND : MOVE LOCATION TO 1
2022-11-03 16:33:52 [LCM] SEND COMMAND : MOVE LOCATION TO 1
2022-11-03 16:33:53 [LCM] SEND COMMAND : MOVE LOCATION TO 1
2022-11-03 16:33:53 [LCM] SEND COMMAND : MOVE LOCATION TO 1
2022-11-03 16:33:53 [LCM] SEND COMMAND : MOVE LOCATION TO 1
2022-11-03 16:33:53 [LCM] SEND COMMAND : MOVE LOCATION TO 1
2022-11-03 16:33:53 [LCM] SEND COMMAND : MOVE LOCATION TO 1
2022-11-03 16:33:54 [LCM] SEND COMMAND : MOVE LOCATION TO 1
2022-11-03 16:34:42 [DB]Load DB Table_Base : map_url -> file:///home/rainbow/Desktop/MAIN_MOBILE1/build/image/map.png
2022-11-03 16:34:42 [DB]Load DB Table_Base : prefer_mouse -> yes
2022-11-03 16:36:58 [DB]Load DB Table_Base : map_url -> file:///home/rainbow/Desktop/MAIN_MOBILE1/build/image/map.png
2022-11-03 16:36:58 [DB]Load DB Table_Base : prefer_mouse -> yes
2022-11-03 16:38:25 [DB]Load DB Table_Base : map_url -> file:///home/rainbow/Desktop/MAIN_MOBILE1/build/image/map.png
2022-11-03 16:38:25 [DB]Load DB Table_Base : prefer_mouse -> yes
